Loading...

Setting: Self-join - count min-edit label degree ft. + improve vf.
         Num = 5338 Q = 2 TAU = 5 DB = ../data/data_5k.txt

Indexing time: 15.7392
= = = = = = = = = = = = = = = = = = = = = = = = = =
Inverted index size in byte: 238788
               entry number: 32453
Signature avg. number of q-gram: 137.05 <max 570>
          multiset size in byte: 5121130
1663(5320) - 736(992) 5 #33
1276(5175) - 754(1853) 3 #29
915(5222) - 780(3924) 1 #44
1553(5305) - 810(1160) 4 #50
989(5188) - 818(1826) 1 #53
1552(5296) - 826(2157) 4 #24
1134(5171) - 874(638) 1 #43
1277(5180) - 896(3404) 2 #34
1133(5164) - 898(3883) 1 #37
1279(5233) - 901(4217) 2 #34
1719(5284) - 932(986) 4 #41
1551(5204) - 939(1650) 3 #48
1403(5142) - 1005(2648) 2 #74
1404(5225) - 1013(3409) 2 #67
1477(5132) - 1042(1093) 2 #36
1859(5297) - 1050(1339) 4 #28
1278(5212) - 1085(3058) 1 #32
2024(5281) - 1093(3401) 5 #29
1986(5246) - 1175(459) 4 #63
1589(5110) - 1377(2512) 1 #66
1662(5283) - 1433(1804) 1 #33
1858(5228) - 1444(2277) 2 #26
1948(5219) - 1508(2129) 2 #36
2524(5147) - 1955(1037) 3 #48
2661(5282) - 1962(1981) 4 #34
2823(5213) - 1979(3456) 5 #33
3728(5146) - 3345(4129) 2 #30

Self-join resp. time: 220.53
= = = = = = = = = = = = = = = = = = = = = = = = = =
Candidates before non-trivial filters: 1173683 <8.24%>
Candidates need GED computation: 435531 <3.06%>
Answers: 187 / candidate pairs <0.04%>
= = = = = = = = = = = = = = = = = = = = = = = = = =
Loading...

Setting: Self-join - count min-edit label degree ft. + improve vf.
         Num = 2195 Q = 2 TAU = 5 DB = ../data/data_2k.txt

Indexing time: 6.32981
= = = = = = = = = = = = = = = = = = = = = = = = = =
Inverted index size in byte: 93336
               entry number: 10493
Signature avg. number of q-gram: 139.41 <max 520>
          multiset size in byte: 2142014
= = = = = = = = = = = = = = = = = = = = = = = = = =
408(2100) - 162(1007) 4 #44
758(2144) - 457(933) 4 #26
879(2152) - 532(1864) 5 #52
859(2178) - 636(1671) 3 #34
809(2080) - 658(1024) 2 #58
966(2085) - 728(271) 3 #36
1085(2184) - 741(1348) 5 #36
1117(2182) - 748(1608) 5 #46
1056(2183) - 767(353) 4 #32
1055(2101) - 768(410) 4 #16
927(2125) - 775(910) 2 #28
1168(2195) - 777(1278) 5 #26
877(2105) - 789(355) 1 #62
878(2122) - 798(1207) 1 #52
977(2117) - 814(227) 2 #63
1053(2081) - 914(1407) 2 #31
1319(2156) - 918(1690) 5 #24
1017(2093) - 937(290) 1 #40
1185(2059) - 959(1527) 3 #36
1016(2079) - 964(1866) 1 #54
1291(2170) - 975(1722) 4 #45
1387(2132) - 986(480) 5 #18
1320(2167) - 996(1309) 4 #13
1054(2082) - 998(1606) 1 #43
1435(2124) - 1021(431) 5 #37
1202(2084) - 1029(1435) 2 #59
1116(2181) - 1031(1807) 1 #65
1318(2115) - 1036(379) 3 #16
1167(2086) - 1047(1376) 1 #33
1479(2180) - 1075(1388) 5 #24
1268(2094) - 1080(1852) 2 #35
1436(2139) - 1089(284) 4 #42
1358(2149) - 1100(886) 3 #53
1434(2073) - 1104(1087) 4 #43
1313(2099) - 1127(1156) 2 #59
1388(2137) - 1140(478) 3 #19
1317(2088) - 1225(660) 1 #21
1565(2191) - 1229(1200) 5 #14
1449(2140) - 1230(1326) 3 #22
1595(2135) - 1234(141) 5 #23
1510(2147) - 1294(401) 3 #52
1509(2120) - 1300(809) 3 #42
1699(2057) - 1386(1900) 5 #57
1596(2143) - 1393(545) 3 #25
1490(2111) - 1429(1293) 1 #49
1531(2126) - 1458(711) 1 #26
1664(2154) - 1468(1205) 3 #18
1593(2087) - 1470(1257) 2 #22
1663(2077) - 1473(1459) 3 #21
1756(2172) - 1511(209) 4 #16
1594(2090) - 1526(1647) 1 #17
1738(2160) - 1532(264) 3 #29
1737(2072) - 1538(893) 3 #36
1679(2074) - 1539(924) 2 #32
1826(2092) - 1548(95) 5 #34
1790(2133) - 1567(82) 4 #13
1829(2161) - 1657(1657) 4 #18
1865(2173) - 1669(551) 5 #18
1752(2116) - 1686(961) 1 #44
1851(2162) - 1692(1300) 4 #39
1754(2114) - 1700(81) 1 #15
1755(2134) - 1707(529) 1 #20
1898(2058) - 1710(1165) 5 #12
1936(2187) - 1741(415) 5 #26
1811(2151) - 1760(670) 1 #31
1895(2103) - 1821(1314) 2 #41
1994(2097) - 1875(686) 3 #23
1973(2131) - 1890(1731) 2 #28
2040(2063) - 1901(324) 4 #17
2041(2164) - 1908(855) 4 #19
1956(2096) - 1914(1382) 1 #14
2061(2113) - 1987(222) 2 #20
2127(2108) - 2058(1616) 4 #15
2096(2109) - 2070(1390) 1 #18
2126(2069) - 2081(602) 2 #20
2125(2068) - 2089(1377) 2 #15
2157(2098) - 2098(492) 3 #15
2187(2158) - 2115(792) 4 #14
68(2066) - 11(1862) 2 #61
183(2071) - 43(505) 3 #40
240(2165) - 51(940) 4 #39
93(2171) - 59(1602) 1 #57
412(2177) - 99(553) 5 #34
346(2104) - 112(1799) 4 #45
428(2176) - 122(951) 5 #52
294(2127) - 167(1308) 2 #43
558(2179) - 227(1273) 5 #22
410(2150) - 235(1767) 3 #42
409(2121) - 272(411) 2 #30
744(2174) - 374(1329) 5 #54
693(2119) - 398(1590) 4 #13
724(2141) - 423(1423) 4 #33
723(2136) - 573(1469) 2 #31
926(2112) - 709(1256) 3 #30
893(2062) - 753(1743) 2 #57
1267(2076) - 1079(1750) 2 #38

Self-join resp. time: 31.75
= = = = = = = = = = = = = = = = = = = = = = = = = =
Candidates before non-trivial filters: 170694 <7.09%>
Candidates need GED computation: 63132 <2.62%>
Answers: 96 / candidate pairs <0.15%>
= = = = = = = = = = = = = = = = = = = = = = = = = =

Done...
Loading...

Setting: Self-join - count min-edit label degree ft. + improve vf.
         Num = 2195 Q = 2 TAU = 5 DB = ../data/data_2k.txt

Indexing time: 4.37914
= = = = = = = = = = = = = = = = = = = = = = = = = =
Inverted index size in byte: 420248
               entry number: 1365
Signature avg. number of q-gram: 139.41 <max 520>
          multiset size in byte: 2142014
= = = = = = = = = = = = = = = = = = = = = = = = = =
408(2100) - 162(1007) 4 #55
758(2144) - 457(933) 4 #50
879(2152) - 532(1864) 5 #58
859(2178) - 636(1671) 3 #58
809(2080) - 658(1024) 2 #73
966(2085) - 728(271) 3 #70
1085(2184) - 741(1348) 5 #64
1117(2182) - 748(1608) 5 #73
1056(2183) - 767(353) 4 #60
1055(2101) - 768(410) 4 #48
927(2125) - 775(910) 2 #66
1168(2195) - 777(1278) 5 #52
877(2105) - 789(355) 1 #82
878(2122) - 798(1207) 1 #81
977(2117) - 814(227) 2 #86
1053(2081) - 914(1407) 2 #62
1319(2156) - 918(1690) 5 #60
1017(2093) - 937(290) 1 #77
1185(2059) - 959(1527) 3 #76
1016(2079) - 964(1866) 1 #79
1291(2170) - 975(1722) 4 #72
1387(2132) - 986(480) 5 #56
1320(2167) - 996(1309) 4 #54
1054(2082) - 998(1606) 1 #68
1435(2124) - 1021(431) 5 #80
1202(2084) - 1029(1435) 2 #88
1116(2181) - 1031(1807) 1 #81
1318(2115) - 1036(379) 3 #60
1167(2086) - 1047(1376) 1 #59
1479(2180) - 1075(1388) 5 #60
1268(2094) - 1080(1852) 2 #78
1436(2139) - 1089(284) 4 #74
1358(2149) - 1100(886) 3 #81
1434(2073) - 1104(1087) 4 #80
1313(2099) - 1127(1156) 2 #93
1388(2137) - 1140(478) 3 #62
1317(2088) - 1225(660) 1 #64
1565(2191) - 1229(1200) 5 #55
1449(2140) - 1230(1326) 3 #54
1595(2135) - 1234(141) 5 #51
1510(2147) - 1294(401) 3 #91
1509(2120) - 1300(809) 3 #80
1699(2057) - 1386(1900) 5 #81
1596(2143) - 1393(545) 3 #77
1490(2111) - 1429(1293) 1 #90
1531(2126) - 1458(711) 1 #65
1664(2154) - 1468(1205) 3 #69
1593(2087) - 1470(1257) 2 #76
1663(2077) - 1473(1459) 3 #68
1756(2172) - 1511(209) 4 #70
1594(2090) - 1526(1647) 1 #77
1738(2160) - 1532(264) 3 #75
1737(2072) - 1538(893) 3 #81
1679(2074) - 1539(924) 2 #91
1826(2092) - 1548(95) 5 #99
1790(2133) - 1567(82) 4 #61
1829(2161) - 1657(1657) 4 #53
1865(2173) - 1669(551) 5 #70
1752(2116) - 1686(961) 1 #95
1851(2162) - 1692(1300) 4 #80
1754(2114) - 1700(81) 1 #76
1755(2134) - 1707(529) 1 #63
1898(2058) - 1710(1165) 5 #60
1936(2187) - 1741(415) 5 #75
1811(2151) - 1760(670) 1 #87
1895(2103) - 1821(1314) 2 #88
1994(2097) - 1875(686) 3 #83
1973(2131) - 1890(1731) 2 #94
2040(2063) - 1901(324) 4 #71
2041(2164) - 1908(855) 4 #67
1956(2096) - 1914(1382) 1 #89
2061(2113) - 1987(222) 2 #95
2127(2108) - 2058(1616) 4 #70
2096(2109) - 2070(1390) 1 #101
2126(2069) - 2081(602) 2 #85
2125(2068) - 2089(1377) 2 #92
2157(2098) - 2098(492) 3 #76
2187(2158) - 2115(792) 4 #78
68(2066) - 11(1862) 2 #62
183(2071) - 43(505) 3 #46
240(2165) - 51(940) 4 #51
93(2171) - 59(1602) 1 #63
412(2177) - 99(553) 5 #46
346(2104) - 112(1799) 4 #49
428(2176) - 122(951) 5 #62
294(2127) - 167(1308) 2 #56
558(2179) - 227(1273) 5 #43
410(2150) - 235(1767) 3 #56
409(2121) - 272(411) 2 #50
744(2174) - 374(1329) 5 #70
693(2119) - 398(1590) 4 #46
724(2141) - 423(1423) 4 #50
723(2136) - 573(1469) 2 #59
926(2112) - 709(1256) 3 #61
893(2062) - 753(1743) 2 #86
1267(2076) - 1079(1750) 2 #64

Self-join resp. time: 228.97
= = = = = = = = = = = = = = = = = = = = = = = = = =
Candidates before non-trivial filters: 608167 <25.26%>
Candidates need GED computation: 91452 <3.80%>
Answers: 96 / candidate pairs <0.10%>
= = = = = = = = = = = = = = = = = = = = = = = = = =
Memory used : 113.24MB

Done...
